sector_name,change_pct,up_count,down_count,top_stock
电子器件,16.01,0,0,
化工行业,10.06,0,0,
仪器仪表,8.72,0,0,
发电设备,8.65,0,0,
环保行业,6.39,0,0,
石油行业,6.29,0,0,
电子信息,5.05,0,0,
房地产,1.89,0,0,
化纤行业,1.57,0,0,
玻璃行业,0.49,0,0,
公路桥梁,-0.17,0,0,
金融行业,-0.44,0,0,
钢铁行业,-0.52,0,0,
船舶制造,-0.78,0,0,
供水供气,-0.98,0,0,
纺织机械,-1.43,0,0,
农药化肥,-1.76,0,0,
交通运输,-1.77,0,0,
家电行业,-1.84,0,0,
水泥行业,-2.03,0,0,
飞机制造,-2.13,0,0,
摩托车,-2.34,0,0,
纺织行业,-2.59,0,0,
次新股,-2.86,0,0,
综合行业,-2.87,0,0,
塑料制品,-2.89,0,0,
商业百货,-2.94,0,0,
酒店旅游,-2.97,0,0,
机械行业,-3.07,0,0,
电力行业,-3.32,0,0,
印刷包装,-3.35,0,0,
物资外贸,-3.57,0,0,
建筑建材,-4.32,0,0,
陶瓷行业,-4.76,0,0,
酿酒行业,-4.88,0,0,
电器行业,-5.01,0,0,
家具行业,-5.11,0,0,
农林牧渔,-6.11,0,0,
造纸行业,-6.26,0,0,
医疗器械,-7.25,0,0,
有色金属,-7.33,0,0,
食品行业,-7.57,0,0,
服装鞋类,-8.33,0,0,
煤炭行业,-8.57,0,0,
其它行业,-8.7,0,0,
生物制药,-8.98,0,0,
开发区,-9.99,0,0,
传媒娱乐,-10.0,0,0,
汽车制造,-10.01,0,0,
