label,板块,公司家数,平均价格,涨跌额,涨跌幅,总成交量,总成交额,股票代码,个股-涨跌幅,个股-当前价,个股-涨跌额,股票名称
new_blhy,玻璃行业,19,15.758947368421,-1.1526315789474,-6.8156355035479,771472842,15607779677,sh603021,1.409,7.2,0.1,*ST华鹏
new_cbzz,船舶制造,8,12.75,-0.28285714285714,-2.1703387043736,260198673,4312457909,sz002608,2.02,7.07,0.14,江苏国信
new_cmyl,传媒娱乐,40,7.3519444444444,-0.33527777777778,-4.3614945436149,1576416311,13175115098,sh601928,0.641,9.42,0.06,凤凰传媒
new_dlhy,电力行业,62,8.266,0.12016666666667,1.4751918158568,5596934891,44585141769,sh600236,10.052,10.62,0.97,桂冠电力
new_dqhy,电器行业,58,14.873703703704,-0.68851851851852,-4.4242943500405,1769016629,24369785054,sz002670,3.457,11.97,0.4,国盛证券
new_dzqj,电子器件,152,26.552253521127,-1.8838028169014,-6.6246978642469,11676515673,235742218811,sz300317,16.011,4.13,0.57,珈伟新能
new_dzxx,电子信息,247,16.611,-1.1643636363636,-6.5504349738402,10555643718,244871651811,sz000948,5.755,14.15,0.77,南天信息
new_fdc,房地产,123,6.2962626262626,-0.29030303030303,-4.4075022620271,4790704571,25415565195,sh600162,10.072,3.06,0.28,香江控股
new_fdsb,发电设备,65,13.92813559322,-0.49745762711864,-3.4484379222427,2168671521,28403456902,sz300040,8.647,5.78,0.46,九洲集团
new_fjzz,飞机制造,14,21.306428571429,-1.155,-5.1421484449533,471486589,11315672685,sh600038,-0.473,25.24,-0.12,中直股份
new_fzhy,纺织行业,42,6.6152941176471,-0.20294117647059,-2.976447243551,872004889,5506931744,sz000779,9.982,12.23,1.11,甘咨询
new_fzjx,纺织机械,8,7.88,-0.32285714285714,-3.9359108324626,99628647,634638520,sh600610,-1.433,6.19,-0.09,中毅达
new_fzxl,服装鞋类,49,8.0734090909091,-0.33772727272727,-4.015239536329,1420317112,9556258537,sz002731,10.0,2.53,0.23,*ST萃华
new_glql,公路桥梁,20,6.6788888888889,0.016111111111111,0.24180772117068,333234282,1800093377,sh600020,2.66,3.86,0.1,中原高速
new_gsgq,供水供气,25,7.1276,-0.1492,-2.0503518029903,609414090,3435002893,sh600982,9.935,5.09,0.46,宁波能源
new_gthy,钢铁行业,60,6.3390384615385,-0.16923076923077,-2.6002422953048,2574012228,11826098202,sh600992,10.047,11.72,1.07,贵绳股份
new_hbhy,环保行业,27,5.8072,-0.1668,-2.792099096083,828142740,4557583099,sz300335,6.387,5.33,0.32,迪森股份
new_hghy,化工行业,150,13.970928571429,-0.64635714285714,-4.4218684336549,4837826797,75302471988,sh600722,10.065,8.53,0.78,金牛化工
new_hqhy,化纤行业,26,9.444347826087,-0.32695652173913,-3.3460888137403,978266445,10866343436,sz000703,4.122,14.65,0.58,恒逸石化
new_jdhy,家电行业,37,14.7590625,-0.335625,-2.2234643810943,1727347972,17365307088,sz002677,9.959,7.95,0.72,浙江美大
new_jdly,酒店旅游,35,12.2540625,-0.355625,-2.8202522861887,600391224,9863580181,sh603869,-1.199,8.24,-0.1,ST智知
new_jjhy,家具行业,16,14.225714285714,-1.0985714285714,-7.168826326093,288211854,2841983212,sh600337,2.381,3.44,0.08,ST美克
new_jrhy,金融行业,51,12.962978723404,-0.099574468085106,-0.76228947454149,5715297421,60436802864,sh601939,3.674,10.16,0.36,建设银行
new_jtys,交通运输,87,7.1156,-0.14693333333333,-2.0231691420808,3324261923,20087018692,sh601000,2.995,4.47,0.13,唐山港
new_jxhy,机械行业,211,17.925979381443,-1.4156701030928,-7.3192832091422,5468655522,122707994559,sh601369,9.954,9.5,0.86,陕鼓动力
new_jzjc,建筑建材,91,5.8074074074074,-0.16938271604938,-2.834008097166,3476377440,16774905268,sz002717,5.825,1.09,0.06,*ST岭南
new_kfq,开发区,10,12.939,-0.734,-5.368243984495,165446278,2219912017,sh600064,-0.273,7.3,-0.02,XD南京高
new_ljhy,酿酒行业,33,63.4965625,-0.7490625,-1.1659354236183,375608836,18244419464,sh600519,-0.476,1253.0,-5.99,贵州茅台
new_mtc,摩托车,6,11.058333333333,-0.59666666666667,-5.1194051194051,144022231,1742016871,sh603766,1.636,13.05,0.21,隆鑫通用
new_mthy,煤炭行业,41,9.9064102564103,-0.26564102564103,-2.6114794182148,2105017369,17709930870,sh601225,1.801,24.3,0.43,陕西煤业
new_nlmy,农林牧渔,64,7.9589830508475,-0.22389830508475,-2.7361792912032,1847803109,14670795856,sz002746,2.995,6.19,0.18,仙坛股份
new_nyhf,农药化肥,46,9.6227906976744,-0.12953488372093,-1.3282460951473,1464186282,12581544324,sh600227,10.072,3.06,0.28,赤天化
new_qczz,汽车制造,103,14.564479166667,-0.66729166666667,-4.3809198153531,2726843414,41370007101,sh600660,1.66,53.88,0.88,福耀玻璃
new_qtxy,其它行业,202,8.370992248062,-0.43923255813953,-4.9854863843015,1334177749,22076214067,sz200037,5.238,2.21,0.11,深南电B
new_slzp,塑料制品,33,8.2286206896552,-0.55068965517241,-6.2725844461901,778875690,6246955019,sh600589,0.411,7.33,0.03,大位科技
new_snhy,水泥行业,26,8.8016666666667,-0.22333333333333,-2.4746075715605,703109062,4380128197,sh600881,10.059,1.86,0.17,亚泰集团
new_sphy,食品行业,58,10.333148148148,-0.23314814814815,-2.2065266921378,1644955378,15154686206,sz000893,4.772,42.59,1.94,亚钾国际
new_stock,次新股,139,76.202446043165,-7.9654676258993,-9.4637817176012,719187183,42563872142,sz301609,14.668,35.1,4.49,山大电力
new_swzz,生物制药,155,15.403586206897,-0.79193103448276,-4.8898162539656,6600471694,74328616862,sh603567,10.037,6.03,0.55,珍宝岛
new_sybh,商业百货,93,8.4037804878049,-0.27963414634146,-3.2203247008595,3190565344,18311315294,sh600280,7.353,2.92,0.2,中央商场
new_syhy,石油行业,24,7.0233333333333,-0.012857142857143,-0.18272874932323,1898730324,10958298924,sz300157,11.924,4.13,0.44,新锦动力
new_tchy,陶瓷行业,8,34.38,-3.332,-8.8353839626644,122756577,2919291386,sz002162,-1.285,3.84,-0.05,悦心健康
new_wzwm,物资外贸,21,7.7415,-0.2095,-2.6348886932461,425909719,2648898940,sh600822,1.462,8.33,0.12,上海物贸
new_ylqx,医疗器械,31,14.81037037037,-0.46481481481481,-3.0429406202265,648462226,11512446588,sz002432,10.0,79.2,7.2,九安医疗
new_yqyb,仪器仪表,48,16.689583333333,-1.0229166666667,-5.7751117384145,1674822524,31023793449,sz000676,9.968,6.84,0.62,智度股份
new_ysbz,印刷包装,20,5.5655555555556,-0.26555555555556,-4.5541158536585,976497339,7827277234,sz002599,1.906,5.88,0.11,盛通股份
new_ysjs,有色金属,72,19.418615384615,-1.1289230769231,-5.494201064698,4123073568,72153676063,sh600331,4.124,11.11,0.44,宏达股份
new_zhhy,综合行业,33,4.9648,-0.1472,-2.8794992175274,578635101,2814366875,sh600730,10.061,8.97,0.82,*ST高科
new_zzhy,造纸行业,24,6.4986363636364,-0.28863636363636,-4.2526118403429,700682283,4074339758,sh600163,0.823,4.9,0.04,中闽能源
