date,open,high,low,close,volume,amount,outstanding_share,turnover
2026-01-16,102.66,102.82,101.51,101.61,19870993.0,2096582184.0,3881513391.0,0.005119393133120328
2026-01-19,101.45,101.82,100.82,101.02,18229885.0,1908481791.0,3881513391.0,0.00469659206696783
2026-01-20,100.97,101.91,100.78,101.37,17281662.0,1813980705.0,3881513391.0,0.004452299981772754
2026-01-21,101.09,101.17,99.52,99.57,26228280.0,2711884886.0,3881513391.0,0.006757230326917092
2026-01-22,99.59,100.22,99.15,99.29,18691474.0,1926511774.0,3881513391.0,0.004815511919484706
2026-01-23,99.33,100.21,99.23,99.51,21455918.0,2214166357.0,3881513391.0,0.005527719690404644
2026-01-26,99.49,100.01,97.65,98.89,31296115.0,3203042467.0,3881513391.0,0.00806286410670791
2026-01-27,98.67,98.88,97.61,97.61,22528720.0,2283721968.0,3881513391.0,0.005804107246476842
2026-01-28,97.62,98.41,97.23,97.3,26676739.0,2696600351.0,3881513391.0,0.0068727674782353984
2026-01-29,97.3,107.03,97.11,107.03,98660393.0,10450873886.0,3881513391.0,0.025418022060354654
2026-01-30,107.03,107.04,101.46,101.46,66817118.0,7156298339.0,3881513391.0,0.01721419231862699
2026-02-02,101.53,107.02,101.53,103.67,53197704.0,5754087577.0,3881513391.0,0.013705402671893036
2026-02-03,103.47,105.11,103.0,103.66,33164323.0,3556634123.0,3881513391.0,0.008544173279653643
2026-02-04,102.91,105.72,102.69,104.86,37891682.0,4088740226.0,3881513391.0,0.009762089727130352
2026-02-05,104.26,106.82,104.03,105.22,37284641.0,4071834696.0,3881513391.0,0.009605696862067067
2026-02-06,105.23,106.03,103.21,103.39,27652192.0,2975510012.0,3881513391.0,0.007124074868353327
2026-02-09,103.2,104.06,102.88,103.74,20889162.0,2237802124.0,3881513391.0,0.0053817055091025445
2026-02-10,103.56,103.56,102.22,102.91,18504047.0,1967153218.0,3881513391.0,0.0047672248259931355
2026-02-11,102.72,103.05,102.28,102.46,11499591.0,1219688888.0,3881513391.0,0.002962656531512659
2026-02-12,102.33,102.53,100.88,101.09,18172982.0,1906604083.0,3881513391.0,0.004681932063441386
2026-02-13,101.17,103.27,100.65,102.48,24123984.0,2557578441.0,3881513391.0,0.006215097455527495
2026-02-24,104.53,105.51,101.46,101.61,21014361.0,2233159175.0,3881513391.0,0.0054139607114909475
2026-02-25,101.46,102.53,101.33,101.62,16152900.0,1703140853.0,3881513391.0,0.00416149536865014
2026-02-26,101.46,101.78,100.1,100.37,19232479.0,2004360013.0,3881513391.0,0.004954891832807798
2026-02-27,100.37,101.02,100.37,100.54,11918816.0,1242973439.0,3881513391.0,0.0030706620844426196
2026-03-02,99.52,101.07,98.89,99.74,20406363.0,2106133136.0,3881513391.0,0.005257321293111056
2026-03-03,99.53,100.86,98.46,99.09,23059451.0,2370559087.0,3881513391.0,0.005940840254079134
2026-03-04,98.56,98.57,97.35,97.61,18301822.0,1850959672.0,3881513391.0,0.004715125302011357
2026-03-05,98.19,98.53,97.74,98.03,10052078.0,1020367656.0,3881513391.0,0.0025897316297575023
2026-03-06,97.92,99.03,97.64,98.94,11291640.0,1150357292.0,3881513391.0,0.002909081809734764
2026-03-09,97.9,99.14,97.85,98.09,17778084.0,1811068891.0,3881513391.0,0.004580193911277427
2026-03-10,98.44,98.94,98.33,98.61,11169430.0,1139370872.0,3881513391.0,0.0028775966678096154
2026-03-11,98.61,98.9,98.16,98.73,10780126.0,1099529974.0,3881513391.0,0.002777299706087759
2026-03-12,98.56,99.26,98.17,98.82,11661418.0,1189182247.0,3881513391.0,0.003004348259377163
2026-03-13,98.62,100.16,98.41,99.48,15318710.0,1577733443.0,3881513391.0,0.003946581772851599
2026-03-16,99.33,101.76,99.23,101.01,20304875.0,2119088706.0,3881513391.0,0.005231174790503254
2026-03-17,101.01,102.25,100.49,101.25,17770249.0,1867733132.0,3881513391.0,0.004578175368711487
2026-03-18,101.25,101.45,99.91,100.22,11720905.0,1217253900.0,3881513391.0,0.003019673982621589
2026-03-19,99.53,99.92,99.05,99.07,11437347.0,1176973860.0,3881513391.0,0.002946620518305974
2026-03-20,99.07,99.7,98.46,98.94,10286504.0,1053023022.0,3881513391.0,0.0026501271446985456
2026-03-23,97.98,98.35,96.66,96.85,20518979.0,2064661956.0,3881513391.0,0.005286334718714873
2026-03-24,97.48,98.04,96.66,97.92,11750754.0,1184095484.0,3881513391.0,0.003027364024363867
2026-03-25,97.93,99.12,97.48,98.99,10858964.0,1107451813.0,3881513391.0,0.0027976108559044257
2026-03-26,98.75,99.42,97.86,97.86,9592448.0,977853749.0,3881513391.0,0.0024713164772899787
2026-03-27,97.11,99.41,97.02,99.19,10295755.0,1052956368.0,3881513391.0,0.002652510493425733
2026-03-30,98.55,100.39,98.36,99.97,12490697.0,1286843153.0,3881513391.0,0.003217996627027481
2026-03-31,101.46,102.23,99.79,99.79,17834771.0,1865043694.0,3881513391.0,0.004594798266406393
2026-04-01,100.46,101.63,99.9,100.87,12266665.0,1279526789.0,3881513391.0,0.003160278933583615
2026-04-02,100.49,101.71,100.37,101.46,15178337.0,1589237202.0,3881513391.0,0.00391041727054034
2026-04-03,101.43,101.43,99.8,100.0,8308861.0,864181133.0,3881513391.0,0.0021406240718544515
2026-04-07,99.91,100.39,98.9,99.63,8154794.0,839975543.0,3881513391.0,0.0021009315641956523
2026-04-08,100.39,100.68,100.02,100.67,9774007.0,1016515698.0,3881513391.0,0.00251809178931672
2026-04-09,99.89,100.19,99.04,99.14,9846158.0,1012935760.0,3881513391.0,0.002536680157494786
2026-04-10,99.15,99.48,98.56,98.63,12242404.0,1253630005.0,3881513391.0,0.00315402853649462
2026-04-13,98.21,98.99,97.67,98.96,12263434.0,1247104401.0,3881513391.0,0.003159446526304667
2026-04-14,98.96,99.91,98.44,99.62,12069637.0,1238173621.0,3881513391.0,0.0031095183203504245
2026-04-15,99.43,100.48,99.22,100.06,11571256.0,1196292314.0,3881513391.0,0.0029811196907963983
2026-04-16,100.01,100.49,99.74,99.95,9016632.0,934168918.0,3881513391.0,0.0023229681548714255
2026-04-17,98.08,98.8,97.79,98.42,16743174.0,1704502562.0,3881513391.0,0.004313568526859167
2026-04-20,98.38,98.51,97.64,97.93,11696080.0,1186004538.0,3881513391.0,0.0030132782813836233
2026-04-21,97.88,98.38,97.59,97.77,10828096.0,1095969167.0,3881513391.0,0.0027896582876944143
