sector_name,change_pct,up_count,down_count,top_stock
太赫兹,5.82,0,0,
草甘膦,5.81,0,0,
禽流感,4.23,0,0,
时空大数据,2.85,0,0,
福建自贸区,2.41,0,0,
土壤修复,1.99,0,0,
移动支付,1.97,0,0,
黄金概念,1.61,0,0,
深圳国企改革,1.35,0,0,
建筑节能,1.1,0,0,
磷化工,0.95,0,0,
参股券商,0.94,0,0,
超级电容,0.67,0,0,
猪肉,0.6,0,0,
量子科技,0.55,0,0,
赛马概念,0.4,0,0,
语音技术,0.38,0,0,
新疆振兴,0.21,0,0,
天然气,0.13,0,0,
工业母机,0.0,0,0,
农村电商,-0.21,0,0,
高铁,-0.44,0,0,
横琴新区,-0.6,0,0,
无线充电,-0.74,0,0,
氟化工概念,-0.88,0,0,
航运概念,-1.15,0,0,
土地流转,-1.27,0,0,
页岩气,-1.29,0,0,
PM2.5,-1.49,0,0,
3D打印,-1.65,0,0,
可燃冰,-1.7,0,0,
手机游戏,-1.77,0,0,
乳业,-1.94,0,0,
净水概念,-1.95,0,0,
冷链物流,-1.96,0,0,
足球概念,-2.41,0,0,
天津自贸区,-2.5,0,0,
期货概念,-2.92,0,0,
安防,-3.15,0,0,
人脸识别,-3.21,0,0,
小金属概念,-3.26,0,0,
钛白粉概念,-3.29,0,0,
石墨烯,-3.31,0,0,
参股银行,-3.48,0,0,
网络游戏,-4.02,0,0,
在线教育,-4.36,0,0,
旅游概念,-4.4,0,0,
职业教育,-4.44,0,0,
举牌,-4.5,0,0,
电子纸,-4.71,0,0,
特高压,-4.86,0,0,
可降解塑料,-5.17,0,0,
生物疫苗,-5.2,0,0,
大飞机,-5.23,0,0,
网络安全,-5.38,0,0,
互联网保险,-5.55,0,0,
生态农业,-5.58,0,0,
染料,-5.89,0,0,
光热发电,-6.61,0,0,
碳纤维,-6.67,0,0,
钠离子电池,-6.73,0,0,
医药电商,-7.45,0,0,
金属铜,-7.49,0,0,
国产航母,-7.82,0,0,
煤化工概念,-7.95,0,0,
特钢概念,-8.13,0,0,
稀土永磁,-8.38,0,0,
供销社,-8.72,0,0,
新股与次新股,-8.8,0,0,
参股保险,-8.92,0,0,
转基因,-9.25,0,0,
两轮车,-9.33,0,0,
上海自贸区,-9.6,0,0,
有机硅概念,-9.69,0,0,
眼科医疗,-9.89,0,0,
固废处理,-10.21,0,0,
农机,-10.8,0,0,
家用电器,-11.75,0,0,
金属回收,-12.27,0,0,
信托概念,-12.47,0,0,
大豆,-14.24,0,0,
新型烟草(电子烟),-14.7,0,0,
广东自贸区,-14.79,0,0,
文化传媒概念,-15.99,0,0,
碳交易,-18.05,0,0,
金属镍,-20.0,0,0,
