序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000815,美利云,9.983498573303223,13.33,209590629,9267856256.55,9267856323.2,2.261479139328003,179245470,092500,092500,0,1/1,1,IT服务Ⅱ
2,002866,传艺科技,10.0,14.85,114020658,2691005714.1,4299405501.599999,4.24837589263916,57673123,093000,093000,0,1/1,1,消费电子
3,300515,三德科技,20.032310485839844,14.86,88809352,2998120536.5,3057511870.0,2.962470769882202,40604727,093000,093000,0,1/1,1,通用设备
4,002490,山东墨龙,10.014103889465332,7.8,423925808,4225431600.0,6223217520.0,10.080981254577637,48361560,093112,102121,3,1/1,1,专用设备
5,603533,掌阅科技,10.0,19.69,768414016,8641878681.15,8641878622.08,8.995505332946777,6918337,093137,150000,4,1/1,1,数字媒体
6,001258,立新能源,10.036275863647461,9.1,733892672,8493244614.4,8493333284.799999,8.800392150878906,132620670,093157,094915,2,3/3,3,电力
7,600644,乐山电力,9.988901138305664,9.91,670536384,5731159306.38,5731159286.56,11.967499732971191,48163997,093245,100303,2,2/2,2,电力
8,002992,宝明科技,10.0,35.86,48402732,5602590757.72,6485949251.099999,0.8775486350059509,64672111,093318,093318,0,1/1,1,光学光电
9,600744,华银电力,10.067113876342773,6.56,1125606768,13324175237.439999,13324175224.32,8.585075378417969,190354957,093500,094930,1,2/2,2,电力
10,000889,中嘉博创,9.872611999511719,3.45,143940609,3000965753.7000003,3230204364.0,4.878988265991211,85141028,093527,093527,0,4/2,1,通信服务
11,600722,金牛化工,9.964829444885254,9.38,451616176,6381398560.88,6381398598.400001,7.215700149536133,89800339,093546,093546,0,2/2,2,化学原料
12,688057,金达莱,19.98572540283203,16.81,141706035,4639560000.0,4639560000.0,3.1035547256469727,19906956,093546,093546,0,1/1,1,环境治理
13,600403,大有能源,10.0,5.28,241110898,12623489482.560001,12623489472.0,1.970767855644226,38106335,093748,093748,0,5/3,1,煤炭开采
14,600126,杭钢股份,10.070671081542969,6.23,1086264240,21039887987.09,21039888018.24,5.212042331695557,139750126,093851,141506,2,1/1,1,普钢
15,300368,汇金股份,20.025508880615234,9.41,468053440,4977358099.75,4977358071.52,9.737569808959961,72808934,093909,093909,0,1/1,1,计算机设
16,603619,中曼石油,9.977452278137207,19.51,479545840,9020223374.11,9020223432.640001,5.393224716186523,87820363,093921,093921,0,1/1,1,油服工程
17,603779,威龙股份,10.012674331665039,8.68,410630640,2882478304.72,2882478287.36,14.616353034973145,59558688,094304,100637,3,1/1,1,非白酒
18,600756,浪潮软件,10.023492813110352,14.05,440322448,4553587479.650001,4912283965.6,9.782530784606934,33527515,094338,144053,10,1/1,1,IT服务Ⅱ
19,600797,浙大网新,9.951845169067383,6.85,635413536,7038555634.5,7038555620.799999,9.108744621276855,23496185,094358,140543,6,1/1,1,IT服务Ⅱ
