序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,trade_date,股票代码,股票名称
1,深股通专用,610381433.82,0.064151057634,483069097.23,0.050770537537,127312336.59,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000426,兴业银锡
2,机构专用,221814526.17,0.023312695413,286513642.79,0.030112569277,-64699116.62,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000426,兴业银锡
3,机构专用,264596694.69,0.027809099147,219561332.0,0.02307588482,45035362.69,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000426,兴业银锡
4,机构专用,224960797.53,0.023643368373,188417383.62,0.01980265743,36543413.91,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000426,兴业银锡
5,机构专用,275728411.0,0.028979041965,155771174.07,0.016371542468,119957236.93,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000426,兴业银锡
1,东吴证券股份有限公司苏州狮山路证券营业部,12190.0,0.000121295947,9838200.0,0.097894486436,-9826010.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000595,新能股份
2,国泰海通证券股份有限公司揭阳黄岐山大道证券营业部,0.0,0.0,8902802.0,0.088586858331,-8902802.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000595,新能股份
3,机构专用,1021713.0,0.010166500927,5337546.0,0.053110967911,-4315833.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000595,新能股份
4,光大证券股份有限公司宁波柳汀街证券营业部,0.0,0.0,3005000.0,0.029901092857,-3005000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000595,新能股份
5,中泰证券股份有限公司滨州邹平鹤伴一路证券营业部,0.0,0.0,2745438.0,0.027318334965,-2745438.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000595,新能股份
1,深股通专用,44928684.66,0.045484370351,46316137.15,0.046888983092,-1387452.49,日跌幅偏离值达到7%的前5只证券,20260723,000596,古井贡酒
2,机构专用,0.0,0.0,35116627.0,0.035550955476,-35116627.0,日跌幅偏离值达到7%的前5只证券,20260723,000596,古井贡酒
3,中信建投证券股份有限公司杭州庆春路证券营业部,218197.0,0.000220895698,30627816.86,0.031006626961,-30409619.86,日跌幅偏离值达到7%的前5只证券,20260723,000596,古井贡酒
4,机构专用,25420050.19,0.025734449738,23962959.0,0.024259336994,1457091.19,日跌幅偏离值达到7%的前5只证券,20260723,000596,古井贡酒
5,机构专用,12835883.0,0.012994639406,23507306.98,0.023798049391,-10671423.98,日跌幅偏离值达到7%的前5只证券,20260723,000596,古井贡酒
1,深股通专用,136235363.5,0.082262885871,185329440.0,0.111907321121,-49094076.5,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
2,机构专用,25722904.72,0.015532240095,51712871.0,0.031225739748,-25989966.28,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
3,机构专用,26201294.0,0.015821105494,33471072.2,0.020210809599,-7269778.2,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
4,招商证券股份有限公司宁波丽江东路证券营业部,48330.0,2.9183064e-05,32281355.0,0.019492423655,-32233025.0,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
5,机构专用,27014122.0,0.016311914747,27977745.43,0.016893778679,-963623.43,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
6,深股通专用,192343870.67,0.0746582424,276720928.23,0.107409183693,-84377057.56,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
7,机构专用,39376647.49,0.015284039377,74788552.0,0.029029164405,-35411904.51,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
8,招商证券股份有限公司宁波丽江东路证券营业部,48330.0,1.8759282e-05,58219355.0,0.02259783326,-58171025.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
9,机构专用,35134564.0,0.013637475354,57447964.43,0.022298418135,-22313400.43,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
10,机构专用,38680527.52,0.015013840523,45846743.3,0.017795406023,-7166215.78,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
1,深股通专用,136235363.5,0.082262885871,185329440.0,0.111907321121,-49094076.5,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
2,机构专用,25722904.72,0.015532240095,51712871.0,0.031225739748,-25989966.28,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
3,机构专用,26201294.0,0.015821105494,33471072.2,0.020210809599,-7269778.2,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
4,招商证券股份有限公司宁波丽江东路证券营业部,48330.0,2.9183064e-05,32281355.0,0.019492423655,-32233025.0,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
5,机构专用,27014122.0,0.016311914747,27977745.43,0.016893778679,-963623.43,日涨幅偏离值达到7%的前5只证券,20260723,000603,盛达资源
6,深股通专用,192343870.67,0.0746582424,276720928.23,0.107409183693,-84377057.56,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
7,机构专用,39376647.49,0.015284039377,74788552.0,0.029029164405,-35411904.51,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
8,招商证券股份有限公司宁波丽江东路证券营业部,48330.0,1.8759282e-05,58219355.0,0.02259783326,-58171025.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
9,机构专用,35134564.0,0.013637475354,57447964.43,0.022298418135,-22313400.43,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
10,机构专用,38680527.52,0.015013840523,45846743.3,0.017795406023,-7166215.78,连续三个交易日内，涨幅偏离值累计达到20%的证券,20260723,000603,盛达资源
1,中国中金财富证券有限公司佛山南海桂城灯湖东路证券营业部,36497042.58,0.038531685825,41890329.7,0.044225638818,-5393287.12,日振幅值达到15%的前5只证券,20260723,000779,甘咨询
